year,marriage_rate,total_marriages_thousands,recession_flag,pct_change_rate,avg_cost_usd,avg_guests,source,pct_micro_under50,pct_mid_50_150,pct_large_over150,cost_under50,cost_50_150,cost_over150,cost_per_guest,yoy_cost_change_pct,yoy_guest_change,pct_first_marriage,pct_second_marriage,pct_third_plus,spend_index_2nd,spend_index_3rd,divorce_risk_1st_pct,divorce_risk_2nd_pct,divorce_risk_3rd_pct,remarriage_rate_per1000,real_cost_2024,marriage_x_cost
2000,8.2,2355,0,,,,,,,,,,,,,,68.0,24.0,8.0,58.0,35.0,41.0,60.0,73.0,52.0,,
2001,8.0,2327,0,-2.44,,,,,,,,,,,,,,,,,,,,,,,
2002,7.8,2254,0,-2.5,,,,,,,,,,,,,,,,,,,,,,,
2003,7.7,2245,0,-1.28,,,,,,,,,,,,,,,,,,,,,,,
2004,7.6,2279,0,-1.3,,,,,,,,,,,,,,,,,,,,,,,
2005,7.5,2249,0,-1.32,,,,,,,,,,,,,67.0,24.0,9.0,57.0,34.0,41.0,60.0,73.0,47.0,,
2006,7.3,2193,0,-2.67,,,,,,,,,,,,,,,,,,,,,,,
2007,7.2,2197,0,-1.37,,,,,,,,,,,,,,,,,,,,,,,
2008,7.0,2162,1,-2.78,,,,,,,,,,,,,,,,,,,,,,,
2009,6.8,2080,1,-2.86,,,,,,,,,,,,,,,,,,,,,,,
2010,6.8,2096,1,0.0,26542.0,148.0,TheKnot,14.0,38.0,48.0,,,,179.0,,,66.0,25.0,9.0,56.0,33.0,41.0,62.0,73.0,40.0,26542.0,180.49
2011,6.8,2118,0,0.0,27084.0,150.0,TheKnot,14.0,38.0,48.0,,,,181.0,2.04,2.0,,,,,,,,,,27084.0,184.17
2012,6.9,2131,0,1.47,28427.0,152.0,TheKnot,15.0,38.0,47.0,,,,187.0,4.96,2.0,,,,,,,,,,28427.0,196.15
2013,6.8,2081,0,-1.45,29858.0,150.0,TheKnot,15.0,38.0,47.0,,,,199.0,5.03,-2.0,,,,,,,,,,29858.0,203.03
2014,6.9,2140,0,1.47,31213.0,148.0,TheKnot,17.0,38.0,45.0,,,,211.0,4.54,-2.0,,,,,,,,,,31213.0,215.37
2015,6.9,2221,0,0.0,32641.0,147.0,TheKnot,18.0,39.0,43.0,,,,222.0,4.58,-1.0,65.0,25.0,10.0,55.0,32.0,41.0,62.0,73.0,38.0,32641.0,225.22
2016,6.9,2251,0,0.0,35329.0,145.0,TheKnot,18.0,39.0,43.0,,,,244.0,8.24,-2.0,,,,,,,,,,35329.0,243.77
2017,6.9,2236,0,0.0,33391.0,143.0,TheKnot,20.0,39.0,41.0,,,,234.0,-5.49,-2.0,,,,,,,,,,33391.0,230.4
2018,6.5,2132,0,-5.8,33931.0,140.0,TheKnot,22.0,39.0,39.0,,,,242.0,1.62,-3.0,,,,,,,,,,33931.0,220.55
2019,6.1,2015,0,-6.15,28000.0,131.0,TheKnot,25.0,40.0,35.0,,,,214.0,-17.48,-9.0,64.0,25.0,11.0,54.0,31.0,41.0,63.0,73.0,35.0,28000.0,170.8
2020,5.1,1676,1,-16.39,19000.0,65.0,TheKnot,50.0,38.0,12.0,,,,292.0,-32.14,-66.0,,,,,,,,,,19000.0,96.9
2021,6.0,1985,0,17.65,27000.0,100.0,TheKnot,30.0,42.0,28.0,,,,270.0,42.11,35.0,,,,,,,,,,27000.0,162.0
2022,6.0,2065,0,0.0,30000.0,113.0,TheKnot,28.0,43.0,29.0,16000.0,26000.0,42000.0,265.0,11.11,13.0,63.0,25.0,12.0,53.0,30.0,41.0,63.0,73.0,33.0,30000.0,180.0
2023,6.1,2077,0,1.67,35000.0,115.0,Zola,26.0,43.0,31.0,17000.0,28000.0,44000.0,304.0,16.67,2.0,,,,,,,,,,35000.0,213.5
2024,6.2,2118,1,1.64,33900.0,117.0,Zola,26.0,43.0,31.0,18000.0,29000.0,45000.0,290.0,-3.14,2.0,62.0,25.0,13.0,52.0,29.0,41.0,63.0,73.0,32.0,33900.0,210.18
