year,marriage_rate,total_marriages_thousands,recession_flag,pct_change_rate
2000,8.2,2355,0,
2001,8.0,2327,0,-2.44
2002,7.8,2254,0,-2.5
2003,7.7,2245,0,-1.28
2004,7.6,2279,0,-1.3
2005,7.5,2249,0,-1.32
2006,7.3,2193,0,-2.67
2007,7.2,2197,0,-1.37
2008,7.0,2162,1,-2.78
2009,6.8,2080,1,-2.86
2010,6.8,2096,1,0.0
2011,6.8,2118,0,0.0
2012,6.9,2131,0,1.47
2013,6.8,2081,0,-1.45
2014,6.9,2140,0,1.47
2015,6.9,2221,0,0.0
2016,6.9,2251,0,0.0
2017,6.9,2236,0,0.0
2018,6.5,2132,0,-5.8
2019,6.1,2015,0,-6.15
2020,5.1,1676,1,-16.39
2021,6.0,1985,0,17.65
2022,6.0,2065,0,0.0
2023,6.1,2077,0,1.67
2024,6.2,2118,1,1.64
