year,avg_cost_usd,avg_guests,source,pct_micro_under50,pct_mid_50_150,pct_large_over150,cost_under50,cost_50_150,cost_over150,cost_per_guest,yoy_cost_change_pct,yoy_guest_change
2010,26542,148,TheKnot,14,38,48,,,,179.0,,
2011,27084,150,TheKnot,14,38,48,,,,181.0,2.04,2.0
2012,28427,152,TheKnot,15,38,47,,,,187.0,4.96,2.0
2013,29858,150,TheKnot,15,38,47,,,,199.0,5.03,-2.0
2014,31213,148,TheKnot,17,38,45,,,,211.0,4.54,-2.0
2015,32641,147,TheKnot,18,39,43,,,,222.0,4.58,-1.0
2016,35329,145,TheKnot,18,39,43,,,,244.0,8.24,-2.0
2017,33391,143,TheKnot,20,39,41,,,,234.0,-5.49,-2.0
2018,33931,140,TheKnot,22,39,39,,,,242.0,1.62,-3.0
2019,28000,131,TheKnot,25,40,35,,,,214.0,-17.48,-9.0
2020,19000,65,TheKnot,50,38,12,,,,292.0,-32.14,-66.0
2021,27000,100,TheKnot,30,42,28,,,,270.0,42.11,35.0
2022,30000,113,TheKnot,28,43,29,16000.0,26000.0,42000.0,265.0,11.11,13.0
2023,35000,115,Zola,26,43,31,17000.0,28000.0,44000.0,304.0,16.67,2.0
2024,33900,117,Zola,26,43,31,18000.0,29000.0,45000.0,290.0,-3.14,2.0
